"","montant","municipalite","numero","habitants","montantparhabitant","date"
"314","865","Vught","8","26396","30.3","19 maart 2020"
"315","1949","Waadhoeke","0","46039","0","19 maart 2020"
"316","866","Waalre","2","17247","11.6","19 maart 2020"
"317","867","Waalwijk","13","48240","26.9","19 maart 2020"
"318","627","Waddinxveen","3","28316","10.6","19 maart 2020"
"319","289","Wageningen","1","38774","2.6","19 maart 2020"
"320","629","Wassenaar","4","26211","15.3","19 maart 2020"
"321","852","Waterland","7","17315","40.4","19 maart 2020"
"322","988","Weert","0","49842","0","19 maart 2020"
"323","457","Weesp","0","19334","0","19 maart 2020"
"324","1960","West Betuwe","8","50697","15.8","19 maart 2020"
"325","668","West Maas en Waal","3","19076","15.7","19 maart 2020"
"326","1969","Westerkwartier","3","63031","4.8","19 maart 2020"
"327","1701","Westerveld","0","19348","0","19 maart 2020"
"328","293","Westervoort","0","14944","0","19 maart 2020"
"329","1950","Westerwolde","0","25199","0","19 maart 2020"
"330","1783","Westland","7","108603","6.4","19 maart 2020"
"331","98","Weststellingwerf","0","25840","0","19 maart 2020"
"332","614","Westvoorne","3","14626","20.5","19 maart 2020"
"333","189","Wierden","0","24351","0","19 maart 2020"
"334","296","Wijchen","8","40951","19.5","19 maart 2020"
"335","1696","Wijdemeren","1","24013","4.2","19 maart 2020"
"336","352","Wijk bij Duurstede","4","23762","16.8","19 maart 2020"
"337","294","Winterswijk","0","28903","0","19 maart 2020"
"338","873","Woensdrecht","0","21866","0","19 maart 2020"
"339","632","Woerden","4","52197","7.7","19 maart 2020"
"340","880","Wormerland","1","16329","6.1","19 maart 2020"
"341","351","Woudenberg","2","13166","15.2","19 maart 2020"
"342","479","Zaanstad","4","155885","2.6","19 maart 2020"
"343","297","Zaltbommel","3","28451","10.5","19 maart 2020"
"344","473","Zandvoort","1","17011","5.9","19 maart 2020"
"345","50","Zeewolde","3","22309","13.4","19 maart 2020"
"346","355","Zeist","12","63934","18.8","19 maart 2020"
"347","299","Zevenaar","3","43488","6.9","19 maart 2020"
"348","637","Zoetermeer","1","124944","0.8","19 maart 2020"
"349","638","Zoeterwoude","0","8450","0","19 maart 2020"
"350","1892","Zuidplas","0","42762","0","19 maart 2020"
"351","879","Zundert","6","21612","27.8","19 maart 2020"
"352","301","Zutphen","1","47609","2.1","19 maart 2020"
"353","1896","Zwartewaterland","5","22503","22.2","19 maart 2020"
"354","642","Zwijndrecht","6","44639","13.4","19 maart 2020"
"355","193","Zwolle","16","127497","12.5","19 maart 2020"
