Cases/10000Habitants,Cases,Municipality,Gemnr,Habitants,Number of Records,Date
0,0,Harderwijk,243,47581,1,05/03/2020
"1,107971858",2,Hardinxveld-Giessendam,523,18051,1,05/03/2020
0,0,Harlingen,72,15758,1,05/03/2020
0,0,Hattem,244,12173,1,05/03/2020
0,0,Heemskerk,396,39164,1,05/03/2020
0,0,Heemstede,397,27286,1,05/03/2020
0,0,Heerde,246,18546,1,05/03/2020
0,0,Heerenveen,74,50257,1,05/03/2020
0,0,Heerhugowaard,398,56742,1,05/03/2020
0,0,Heerlen,917,86832,1,05/03/2020
0,0,Heeze-Leende,"1,658",15964,1,05/03/2020
0,0,Heiloo,399,23464,1,05/03/2020
0,0,Hellendoorn,163,35808,1,05/03/2020
0,0,Hellevoetsluis,530,40049,1,05/03/2020
"0,437043835",4,Helmond,794,91524,1,05/03/2020
0,0,Hendrik-Ido-Ambacht,531,30966,1,05/03/2020
0,0,Hengelo (O),164,80683,1,05/03/2020
0,0,Het Hogeland,"1,966",47888,1,05/03/2020
0,0,Heumen,252,16486,1,05/03/2020
0,0,Heusden,797,44135,1,05/03/2020
0,0,Hillegom,534,21966,1,05/03/2020
0,0,Hilvarenbeek,798,15334,1,05/03/2020
0,0,Hilversum,402,90238,1,05/03/2020
"0,115398818",1,Hoeksche Waard,"1,963",86656,1,05/03/2020
0,0,Hof van Twente,"1,735",34940,1,05/03/2020
0,0,Hollands Kroon,"1,911",47815,1,05/03/2020
0,0,Hoogeveen,118,55662,1,05/03/2020
0,0,Hoorn,405,73004,1,05/03/2020
0,0,Horst aan de Maas,"1,507",42291,1,05/03/2020
"1,803209713",9,Houten,321,49911,1,05/03/2020
0,0,Huizen,406,41273,1,05/03/2020
0,0,Hulst,677,27524,1,05/03/2020
0,0,IJsselstein,353,34160,1,05/03/2020
0,0,Kaag en Braassem,"1,884",26866,1,05/03/2020
0,0,Kampen,166,53779,1,05/03/2020
0,0,Kapelle,678,12785,1,05/03/2020
0,0,Katwijk,537,65302,1,05/03/2020
0,0,Kerkrade,928,45642,1,05/03/2020
0,0,Koggenland,"1,598",22738,1,05/03/2020
0,0,Krimpen aan den IJssel,542,29376,1,05/03/2020
0,0,Krimpenerwaard,"1,931",56048,1,05/03/2020
0,0,Laarbeek,"1,659",22333,1,05/03/2020
0,0,Landerd,"1,685",15529,1,05/03/2020
0,0,Landgraaf,882,37591,1,05/03/2020
0,0,Landsmeer,415,11488,1,05/03/2020
0,0,Langedijk,416,27992,1,05/03/2020
0,0,Lansingerland,"1,621",61601,1,05/03/2020
